Mouse i.d.,age in months,mouse Strain,Tissue region,Sample Name,Dilution,7  Li   ,11  B   ,23  Na   ,24  Mg   ,27  Al   ,31  P   ,39  K   ,42  Ca   ,47  Ti   ,52  Cr   ,55  Mn   ,56  Fe   ,59  Co   ,60  Ni   ,63  Cu   ,66  Zn   ,78  Se   ,85  Rb   ,88  Sr   ,95  Mo   ,101  Ru   ,111  Cd   
227,5,NFL,Olfactory bulb,02D,0.124,0.079,1.177,5251.28,579.90,0.92,15901.49,13086.10,681.88,1.115,0.185,2.098,52.80,0.038,0.291,17.670,43.87,1.057,15.466,0.278,0.595,0.000,0.002
228,5,NFL,Olfactory bulb,03D,0.105,0.015,0.878,4866.56,571.64,1.29,16833.30,11154.85,3325.42,1.039,0.063,1.933,48.37,0.037,0.048,14.075,40.03,0.914,13.463,1.506,0.399,0.000,0.000
229,5,NFL,Olfactory bulb,04D,0.144,0.019,1.108,5007.08,560.41,1.51,15426.82,12691.49,201.00,0.995,1.929,2.103,50.32,0.037,0.694,15.392,43.30,0.978,16.260,0.070,0.432,0.000,0.002
230,5,NFL,Olfactory bulb,05D,0.129,0.070,0.911,4813.45,561.59,1.60,14715.90,12166.33,225.28,0.955,0.076,1.958,53.05,0.035,0.124,14.495,40.72,0.912,16.541,0.083,0.317,0.000,0.002
232,5,NFL,Olfactory bulb,06D,0.156,0.003,1.065,4878.02,536.72,1.86,14658.42,11621.48,612.56,0.995,0.126,1.982,52.16,0.030,0.136,15.113,39.70,0.811,14.041,0.260,0.308,0.000,0.001
233,5,NFL,Olfactory bulb,07D,0.257,0.043,1.668,5134.34,524.98,1.93,13443.45,11380.18,269.57,1.025,0.221,1.907,54.28,0.034,0.292,15.896,43.71,0.780,14.190,0.110,0.325,0.001,0.003
234,5,NFL,Olfactory bulb,08D,0.304,0.103,1.451,4646.71,512.75,4.93,13009.80,11319.71,269.05,1.104,0.610,5.986,53.52,0.447,838.616,320.406,165.32,0.734,15.982,0.091,0.192,0.001,0.007
238,5,NFL,Olfactory bulb,09D,0.251,0.037,1.559,5101.02,516.55,2.78,13447.77,11030.22,254.09,1.150,0.200,2.322,57.03,0.031,1.430,15.144,40.22,0.746,15.644,0.094,0.196,0.000,0.003
237,5,NFL,Olfactory bulb,10D,0.159,0.078,1.230,5330.72,670.24,1.37,19500.24,10819.88,8327.31,1.432,0.231,2.402,50.33,0.031,0.181,17.028,48.23,0.744,14.603,3.105,0.244,0.000,0.001
236,5,NFL,Olfactory bulb,11D,0.246,0.095,1.564,5817.78,540.09,6.64,15222.42,10554.14,364.33,1.270,16.575,2.695,55.08,0.035,0.457,14.505,44.01,0.693,13.730,0.185,0.193,0.000,0.020
235,5,NFL,Olfactory bulb,12D,0.720,0.215,3.012,7203.39,581.81,8.44,15270.06,11288.20,1190.73,2.076,0.923,2.675,63.42,0.042,2.110,19.457,73.52,0.787,15.514,0.360,0.027,0.001,0.004
162379,22,NFL,Olfactory bulb,13D,0.067,0.031,0.718,4980.83,479.88,0.70,15685.10,9252.52,193.10,0.956,0.027,1.758,39.47,0.037,0.076,18.448,33.93,0.815,12.055,0.060,0.287,0.000,0.000
162380,22,NFL,Olfactory bulb,14D,0.096,0.042,0.752,4898.65,477.99,0.85,14674.10,8983.10,326.93,0.961,0.595,1.466,44.58,0.040,0.281,13.948,30.76,0.694,9.237,0.122,0.233,0.000,0.001
162381,22,NFL,Olfactory bulb,15D,0.090,0.013,0.809,4948.24,495.63,1.42,15441.31,9875.12,195.32,1.036,0.118,1.771,45.06,0.040,0.078,18.046,35.23,0.795,9.769,0.067,0.263,0.000,0.001
162382,22,NFL,Olfactory bulb,16D,0.094,0.024,0.902,4791.23,477.18,1.22,14813.94,9283.86,230.46,0.918,1.062,1.583,45.55,0.042,0.066,14.092,35.43,0.822,7.804,0.083,0.261,0.000,0.001
13,22,NFL,Olfactory bulb,17D,0.136,0.048,1.039,5218.25,544.81,1.32,15330.83,11251.76,253.85,0.982,0.246,1.653,59.93,0.056,0.078,21.201,41.79,0.931,14.752,0.085,0.301,0.000,0.001
14,22,NFL,Olfactory bulb,18D,0.087,0.039,0.854,4830.59,529.59,0.76,16018.35,11340.20,193.75,0.923,0.068,1.677,52.35,0.053,0.050,21.826,39.78,1.033,12.974,0.055,0.308,0.000,0.001
15,22,NFL,Olfactory bulb,19D,0.047,0.021,0.808,4853.85,646.09,0.21,18794.02,15692.49,546.04,1.092,0.111,1.252,73.28,0.046,0.024,24.766,63.54,1.372,19.961,0.156,0.467,0.000,0.000
161464,22,(WT),Olfactory bulb,20D,0.087,0.012,0.731,4685.81,477.25,1.02,15101.54,10281.48,234.32,0.914,0.064,1.561,39.66,0.039,0.074,11.341,33.21,0.717,14.114,0.100,0.226,0.000,0.001
161466,22,(WT),Olfactory bulb,21D,0.090,-0.001,0.951,4331.77,503.87,1.48,15437.99,11031.52,1102.24,0.959,0.646,1.345,48.59,0.044,0.092,11.304,33.39,0.738,13.876,0.429,0.197,0.000,0.001
161468,22,(WT),Olfactory bulb,22D,0.040,0.006,0.771,4287.57,521.76,0.53,17795.25,11937.98,160.71,1.048,0.056,1.289,43.78,0.043,0.032,14.674,33.24,1.005,13.733,0.057,0.231,0.000,0.000
161469,22,(WT),Olfactory bulb,23D,0.082,0.035,0.801,4977.22,525.24,0.76,16554.23,10985.40,1880.74,1.007,1.254,1.322,44.95,0.044,0.096,9.810,35.46,0.801,14.215,0.697,0.193,0.000,0.001
161470,22,(WT),Olfactory bulb,24D,0.052,0.035,0.969,4238.88,466.24,1.98,15560.32,10157.59,685.65,0.919,0.204,1.222,41.42,0.043,0.079,9.537,33.54,0.776,12.253,0.268,0.176,0.000,0.001
169,9,(WT),Olfactory bulb,25D,0.049,0.025,0.857,4408.17,525.29,0.65,17239.29,11867.07,155.88,0.994,0.024,1.445,42.46,0.054,0.026,15.730,32.08,1.014,17.597,0.068,0.244,0.000,0.000
170,22,(WT),Olfactory bulb,26D,0.047,0.073,0.737,4601.76,507.92,0.33,17142.40,11121.25,164.48,0.994,0.030,1.545,39.37,0.039,0.048,14.285,29.68,0.895,22.033,0.061,0.246,0.000,0.000
171,22,(WT),Olfactory bulb,27D,0.111,0.017,0.780,4698.68,491.78,0.63,14355.62,11015.01,257.87,0.913,0.024,1.555,43.72,0.047,0.047,16.178,31.68,0.739,19.662,0.119,0.223,0.000,0.000
172,22,(WT),Olfactory bulb,28D,0.127,0.055,0.790,4478.11,484.63,0.95,14260.52,10967.85,159.40,0.899,0.046,1.315,41.66,0.040,0.067,11.333,31.17,0.698,16.804,0.075,0.150,0.000,0.001
3119,5,(WT),Olfactory bulb,29D,0.098,0.037,0.745,4984.10,507.02,2.99,15272.51,11982.85,281.37,0.968,0.083,1.713,39.49,0.039,0.818,12.818,34.32,0.744,19.234,0.123,0.125,0.000,0.001
3120,5,(WT),Olfactory bulb,30D,0.142,0.015,0.897,5285.39,561.39,3.96,16740.82,12224.94,1726.01,1.132,0.082,1.898,44.74,0.029,2.185,12.330,44.75,0.777,19.693,0.687,0.097,0.000,0.002
3121,5,(WT),Olfactory bulb,31D,0.160,0.057,0.949,4812.16,536.63,4.37,14779.60,12654.45,154.89,1.003,0.030,1.855,45.54,0.031,0.111,12.085,35.12,0.756,20.867,0.061,0.104,0.000,0.001
3139,5,(WT),Olfactory bulb,32D,0.158,0.148,1.033,6115.00,648.41,4.70,18268.69,14945.24,293.86,1.193,0.125,2.264,57.73,0.039,2.336,23.651,57.21,0.928,22.139,0.139,0.215,0.000,0.002
3181,5,(WT),Olfactory bulb,33D,0.136,0.085,0.864,4810.28,558.66,4.76,15092.78,13117.44,188.21,1.035,0.095,1.968,48.72,0.035,0.220,14.749,71.99,0.885,18.276,0.103,0.148,0.000,0.004
3183,5,(WT),Olfactory bulb,34D,0.077,0.008,0.752,4724.01,527.92,2.90,15956.87,12410.44,170.33,1.008,0.089,2.023,40.58,0.026,0.830,13.574,45.74,0.819,19.189,0.093,0.189,0.000,0.002
3184,5,(WT),Olfactory bulb,35D,0.130,0.057,0.954,4770.55,536.38,3.78,15379.65,12673.10,174.73,1.054,0.177,1.893,43.72,0.031,0.573,19.318,41.83,0.758,19.240,0.085,0.118,0.000,0.002
3185,5,(WT),Olfactory bulb,36D,0.082,0.044,1.529,4956.49,514.88,0.99,15917.50,12070.14,197.02,0.961,0.314,1.783,42.32,0.031,0.208,11.915,35.97,0.868,20.683,0.093,0.144,0.000,0.001
704,9,(WT) APP/PS1 ,Olfactory bulb,37D,0.090,0.017,0.752,4771.24,524.17,15.71,16131.52,12467.71,213.10,1.026,0.077,1.401,42.91,0.034,0.130,10.982,30.46,0.781,16.429,0.099,0.153,0.000,0.001
706,9,(WT) APP/PS1 ,Olfactory bulb,38D,0.081,0.034,0.764,4793.59,500.77,1.97,15549.68,12015.66,325.18,0.967,0.192,1.239,40.61,0.029,0.047,11.699,31.23,0.768,19.195,0.129,0.153,0.000,0.000
711,9,(WT) APP/PS1,Olfactory bulb,39D,0.116,0.067,0.766,4550.57,494.42,1.56,14708.37,11817.62,226.54,0.970,0.291,1.588,38.93,0.028,0.079,12.286,30.39,0.657,18.367,0.125,0.155,0.000,0.000
712,9,(WT) APP/PS1,Olfactory bulb,40D,0.073,-0.016,0.735,4616.81,494.71,0.94,16016.24,11806.80,192.67,0.981,0.211,1.294,35.43,0.027,0.113,11.275,30.83,0.742,17.753,0.080,0.149,0.000,0.000
719,9,(WT) APP/PS1,Olfactory bulb,41D,0.059,0.055,0.734,4657.83,528.72,0.75,17110.55,12528.54,157.73,1.007,0.111,1.323,40.19,0.033,0.045,11.977,33.47,0.851,20.571,0.057,0.175,0.000,0.000
634,9,(WT) APP/PS1,Olfactory bulb,42D,0.087,0.067,0.720,4751.37,496.16,0.52,15279.01,11850.92,202.88,0.958,0.098,1.127,42.00,0.031,0.034,11.772,30.85,0.729,17.398,0.074,0.154,0.000,0.000
636,9,(WT) APP/PS1,Olfactory bulb,43D,0.071,0.011,0.789,5057.61,537.11,0.41,17194.42,12855.08,195.38,1.048,0.019,1.670,40.82,0.029,0.038,12.405,31.39,0.828,23.038,0.060,0.204,0.000,0.000
675,9,(WT) APP/PS1,Olfactory bulb,44D,0.115,0.054,0.936,4988.40,598.48,1.06,18193.50,13771.45,1225.97,1.121,0.021,1.405,46.19,0.034,0.059,12.975,34.51,0.833,20.995,0.435,0.222,0.000,0.000
633,9,APP/PS1,Olfactory bulb,45D,0.133,0.059,0.916,4841.00,540.28,1.25,15601.97,12781.29,316.22,1.069,0.032,1.732,40.67,0.034,0.107,12.924,36.43,0.754,20.821,0.101,0.173,0.000,0.001
635,9,APP/PS1,Olfactory bulb,46D,0.061,0.012,0.649,4754.80,514.50,0.28,16660.26,12220.17,158.98,1.006,0.017,1.655,34.61,0.031,0.031,11.531,29.23,0.864,20.529,0.058,0.196,0.000,0.000
676,9,APP/PS1,Olfactory bulb,47D,0.102,0.065,0.947,4641.60,511.47,0.71,15707.03,12216.36,170.32,1.038,0.054,1.390,43.07,0.033,0.216,10.553,29.74,0.782,17.517,0.065,0.128,0.000,0.001
705,9,APP/PS1,Olfactory bulb,48D,0.087,0.033,0.893,4784.64,556.75,0.70,16922.43,12624.33,1630.74,1.053,0.144,1.482,44.98,0.035,0.204,12.347,34.57,0.845,17.201,0.621,0.171,0.000,0.000
707,9,APP/PS1,Olfactory bulb,49D,0.066,0.027,0.744,4640.60,527.83,0.40,16545.53,12321.10,145.34,1.026,0.044,1.389,42.03,0.032,0.054,11.847,28.77,0.844,17.982,0.061,0.181,0.000,0.000
713,9,APP/PS1,Olfactory bulb,50D,0.066,0.029,0.910,4791.53,507.72,16.82,16329.74,12164.83,163.41,1.010,0.052,1.634,38.20,0.030,0.064,11.692,29.21,0.775,20.731,0.067,0.198,0.000,0.000
718,9,APP/PS1,Olfactory bulb,51D,0.116,0.080,0.785,5135.29,563.94,1.06,16537.80,13509.08,176.55,1.123,0.172,1.834,44.99,0.033,0.084,13.505,34.48,0.825,21.057,0.070,0.198,0.000,0.001
226,5,NFL,Brain stem,01E,0.474,0.000,2.683,6120.08,803.87,3.26,14899.53,18710.08,238.24,4.787,0.717,2.718,105.74,0.068,13.068,26.745,67.23,1.001,29.296,0.113,50.322,0.009,0.019
227,5,NFL,Brain stem,02E,0.548,-0.032,2.172,5697.16,764.23,10.03,14846.15,18642.15,539.86,2.842,0.312,2.569,104.28,0.053,3.247,24.301,69.26,0.773,29.569,0.237,14.998,0.008,0.021
228,5,NFL,Brain stem,03E,0.463,0.030,1.903,5770.91,805.64,8.47,15088.64,19218.21,238.94,1.841,0.311,2.584,105.90,0.056,9.107,25.670,71.61,0.893,29.264,0.100,6.269,0.006,0.009
229,5,NFL,Brain stem,04E,0.485,0.039,1.854,5838.35,826.46,8.34,15435.38,18719.70,1301.54,1.629,0.323,2.594,101.93,0.055,6.302,25.720,67.55,0.997,31.968,0.570,3.892,0.003,0.012
230,5,NFL,Brain stem,05E,0.368,0.071,1.629,5206.52,782.39,6.36,14807.06,17657.23,1432.09,1.215,0.522,2.576,94.23,0.055,5.587,24.027,65.27,0.957,30.104,0.701,1.894,0.002,0.006
232,5,NFL,Brain stem,06E,1.575,0.124,7.666,6351.55,830.11,43.26,14859.10,19199.35,1688.78,3.330,5.754,4.243,176.80,0.107,24.589,26.842,138.22,1.145,31.587,1.200,6.052,0.011,0.045
233,5,NFL,Brain stem,07E,1.167,-0.168,4.584,6924.86,963.89,8.10,17443.98,23044.52,554.25,2.168,0.577,3.709,177.06,0.087,10.196,29.710,81.77,1.101,35.562,0.265,2.803,0.010,0.020
234,5,NFL,Brain stem,08E,1.750,-0.139,5.686,7107.63,1701.82,26.25,44638.79,18182.87,48285.83,3.839,2.999,4.108,173.60,0.108,16.621,21.402,130.31,0.704,33.749,23.630,2.793,0.009,0.025
238,5,NFL,Brain stem,09E,0.534,0.016,2.361,5708.26,813.74,6.75,15361.58,19426.81,653.23,1.744,0.287,3.058,133.26,0.056,3.898,24.233,69.19,0.965,34.779,0.359,0.851,0.003,0.008
237,5,NFL,Brain stem,10E,0.829,-0.207,3.498,5694.64,910.79,16.23,16553.16,18652.99,4197.03,2.014,3.141,10.835,187.74,0.066,0.543,29.291,100.84,1.046,30.660,2.001,0.786,0.006,0.014
236,5,NFL,Brain stem,11E,0.558,-0.040,1.988,5750.27,782.14,21.37,14369.31,18597.90,679.53,1.900,2.906,3.736,202.25,0.165,0.505,25.831,73.27,1.092,30.993,0.304,2.154,0.002,0.007
235,5,NFL,Brain stem,12E,0.470,-0.055,1.961,5448.68,894.43,6.45,17165.22,18012.54,5133.81,1.758,0.235,3.162,117.62,0.056,1.470,28.089,78.13,0.940,30.974,2.079,0.432,0.001,0.006
162379,22,NFL,Brain stem,13E,1.260,2.063,2.268,5118.03,746.53,28.22,13694.81,18297.89,461.18,0.636,1.111,3.279,320.12,0.099,7.284,27.247,79.88,0.802,29.440,0.405,0.512,0.005,0.018
162380,22,NFL,Brain stem,14E,0.563,0.060,2.313,6127.50,766.36,12.41,14603.98,18234.16,662.05,1.200,0.118,2.235,194.69,0.067,0.375,26.180,72.52,0.984,24.160,0.280,0.463,0.001,0.004
162381,22,NFL,Brain stem,15E,0.724,0.021,2.438,5413.89,771.22,65.15,14740.22,18952.63,472.34,2.112,0.446,2.781,243.66,0.071,0.435,26.103,73.45,0.957,24.764,0.383,0.311,0.003,0.010
162382,22,NFL,Brain stem,16E,0.670,0.073,18.331,6129.81,1109.65,19.20,23732.52,18188.90,14960.75,1.490,0.374,3.296,282.19,0.086,0.433,64.915,92.43,0.851,20.430,6.153,0.354,0.001,0.016
13,22,NFL,Brain stem,17E,0.174,-0.007,1.240,4969.90,730.06,1.57,15749.81,17790.61,215.50,0.836,0.058,2.055,168.10,0.064,0.110,31.106,59.35,1.116,28.106,0.085,0.543,0.000,0.002
14,22,NFL,Brain stem,18E,0.685,-0.200,0.590,5077.50,686.83,7.31,13225.75,17134.48,497.64,0.444,0.237,1.611,172.20,0.071,5.515,21.104,71.44,0.883,25.488,0.272,0.107,0.001,0.009
15,22,NFL,Brain stem,19E,1.000,,,,,,,,,,,,,,,,,,,,,,
161464,22,(WT),Brain stem,20E,0.457,0.066,1.487,5550.97,792.31,3.89,14577.62,18081.44,326.73,0.922,0.523,2.507,178.42,0.079,0.187,24.085,81.87,0.876,24.821,0.153,0.412,0.002,0.003
161466,22,(WT),Brain stem,21E,0.417,-0.015,1.634,5750.52,897.87,3.83,17318.04,20060.26,2739.51,1.149,1.459,2.397,221.17,0.076,1.103,25.101,67.89,1.093,26.255,1.278,0.363,0.001,0.004
161468,22,(WT),Brain stem,22E,0.589,0.197,2.105,5261.53,778.25,11.60,15001.44,19303.58,494.93,1.018,0.223,2.090,217.73,0.070,1.538,20.130,65.30,0.772,23.934,0.463,0.250,0.002,0.009
161469,22,(WT),Brain stem,23E,0.558,-0.224,2.038,5360.60,759.73,15.04,14394.29,18468.19,552.17,1.037,2.833,2.247,198.70,0.063,0.305,16.001,82.44,0.768,25.925,0.283,0.057,0.002,0.012
161470,22,(WT),Brain stem,24E,0.195,-0.052,1.050,4781.45,720.76,17.21,14827.12,17198.56,343.63,0.914,3.131,2.096,179.75,0.074,0.417,22.727,61.81,0.982,20.682,0.155,0.597,0.000,0.007
169,9,(WT),Brain stem,25E,0.239,-0.015,1.030,5372.92,872.90,1.79,19422.80,18081.04,5181.83,0.969,0.206,2.067,165.59,0.070,0.108,22.809,64.13,0.956,29.679,2.773,0.617,0.000,0.003
170,22,(WT),Brain stem,26E,0.241,0.066,0.986,5283.70,780.56,2.26,15255.67,18777.12,228.49,0.786,1.113,2.275,165.80,0.065,0.105,29.966,61.29,0.860,38.342,0.119,0.458,0.000,0.002
171,22,(WT),Brain stem,27E,0.708,-0.143,1.066,5685.32,749.87,6.43,14145.38,18635.60,417.07,0.327,0.096,2.374,174.66,0.077,0.310,24.697,70.47,0.831,37.319,0.205,-0.006,0.002,0.006
172,22,(WT),Brain stem,28E,0.263,0.006,1.160,6086.85,1919.31,1.73,60536.74,12781.47,72909.67,3.217,0.113,1.738,198.93,0.042,0.346,11.936,95.66,0.633,22.164,35.929,0.288,0.001,0.002
3119,5,(WT),Brain stem,29E,1.000,0.007,0.986,6049.78,917.82,37.60,16199.45,21945.96,1020.24,0.571,0.271,2.894,142.92,0.071,1.021,24.527,84.42,1.055,39.024,0.484,-0.630,0.003,0.038
3120,5,(WT),Brain stem,30E,0.618,0.002,1.017,5927.50,857.28,19.51,15411.21,20666.36,272.73,0.629,0.099,2.784,133.27,0.073,0.718,21.157,86.01,1.004,37.016,0.115,-0.154,0.001,0.005
3121,5,(WT),Brain stem,31E,0.447,-0.003,1.170,5461.29,859.40,12.96,15457.09,18705.86,1945.18,0.730,0.047,2.527,129.87,0.051,0.754,20.626,70.47,1.007,33.894,0.942,0.059,0.001,0.008
3139,5,(WT),Brain stem,32E,0.377,-0.098,1.195,5839.53,853.32,11.76,14891.43,18688.99,462.22,0.788,0.156,2.681,134.85,0.059,0.377,26.879,130.27,0.835,30.693,0.270,0.126,0.001,0.008
3181,5,(WT),Brain stem,33E,1.370,-0.366,0.994,5547.91,846.57,41.05,13990.98,19252.54,324.73,0.062,0.284,2.662,128.31,0.087,9.905,20.701,118.70,0.965,29.630,0.160,-1.156,0.001,0.014
3183,5,(WT),Brain stem,34E,1.146,0.055,1.808,6740.37,908.13,30.93,15271.32,20476.62,393.22,0.220,0.612,3.604,142.40,0.069,1.065,32.371,114.21,0.852,31.160,0.254,-0.824,0.002,0.009
3184,5,(WT),Brain stem,35E,0.488,0.088,1.008,6800.55,1018.32,14.21,17751.80,23509.35,370.37,0.914,0.658,3.265,148.92,0.069,2.839,26.967,163.62,1.039,39.788,0.217,0.009,0.002,0.010
3185,5,(WT),Brain stem,36E,0.384,0.087,1.882,5652.84,887.58,14.46,15542.40,20026.41,583.53,0.967,0.400,3.308,168.26,0.067,0.661,23.637,65.34,1.039,35.258,0.425,0.101,0.002,0.005
704,9,(WT) APP/PS1 ,Brain stem,37E,0.863,-0.009,1.431,5121.49,758.98,27.66,14031.51,19520.98,685.53,0.566,1.054,2.196,157.63,0.084,1.874,16.693,134.34,0.797,28.748,0.304,-0.525,0.002,0.006
706,9,(WT) APP/PS1 ,Brain stem,38E,0.594,-0.053,1.187,6098.67,822.59,6.22,16127.22,20182.65,2023.06,0.482,0.862,2.124,152.49,0.068,1.042,21.728,102.75,0.908,34.649,0.866,-0.175,0.002,0.015
711,9,(WT) APP/PS1,Brain stem,39E,0.594,0.060,0.696,6327.28,916.14,78.24,16584.69,21713.94,672.45,0.542,1.266,2.787,162.33,0.072,0.267,26.694,79.36,0.897,36.877,0.363,-0.096,0.000,0.005
712,9,(WT) APP/PS1,Brain stem,40E,1.432,-0.285,2.562,5792.01,818.22,19.66,14886.28,20509.88,750.57,-0.256,0.446,2.232,159.46,0.087,1.675,31.673,79.20,0.922,32.031,0.406,-1.260,0.003,0.012
719,9,(WT) APP/PS1,Brain stem,41E,1.086,-0.059,1.411,6130.91,874.09,27.27,16612.29,22094.17,1082.66,0.287,0.553,2.214,143.68,0.147,0.496,21.262,82.83,1.001,35.145,0.555,-0.810,0.006,0.012
634,9,(WT) APP/PS1,Brain stem,42E,1.575,0.390,0.792,6163.13,835.59,21.94,15314.86,21190.45,647.16,-0.398,1.646,2.264,160.67,0.074,2.271,22.261,102.43,0.800,33.851,0.335,-1.479,0.006,0.012
636,9,(WT) APP/PS1,Brain stem,43E,1.125,-0.066,2.065,8341.96,1163.50,40.90,22024.57,29114.37,628.33,0.238,0.659,3.735,191.29,0.079,0.546,31.556,115.99,0.937,51.503,0.266,-0.617,0.003,0.008
675,9,(WT) APP/PS1,Brain stem,44E,0.217,0.019,1.003,5721.59,864.38,2.84,17696.02,20174.48,573.83,0.754,1.434,2.172,141.98,0.063,0.110,27.642,63.17,1.138,34.845,0.235,0.475,0.002,0.001
633,9,APP/PS1,Brain stem,45E,0.708,-0.109,0.969,6212.61,829.14,19.02,15591.33,20556.48,408.08,0.411,0.279,2.789,149.23,0.086,0.988,27.620,82.19,0.996,33.671,0.150,-0.230,0.001,0.005
635,9,APP/PS1,Brain stem,46E,1.000,0.087,1.096,6096.25,821.29,7.60,15510.37,20932.10,541.01,0.179,3.900,2.839,134.37,0.076,1.354,24.105,82.33,0.816,33.940,0.248,-0.714,0.005,0.012
676,9,APP/PS1,Brain stem,47E,0.788,0.006,1.432,5848.07,867.05,13.46,16374.86,21115.86,1506.42,0.193,0.302,2.419,166.53,0.075,0.323,20.971,66.81,1.040,33.748,0.723,-0.495,0.001,0.005
705,9,APP/PS1,Brain stem,48E,0.453,-0.085,1.060,5360.30,817.83,4.22,14790.37,19614.07,290.51,0.580,2.529,2.127,148.75,0.057,0.220,19.453,65.28,0.967,30.778,0.133,-0.023,0.001,0.004
707,9,APP/PS1,Brain stem,49E,0.481,-0.088,1.493,5910.68,896.04,6.51,16081.27,21227.34,205.63,0.639,1.495,2.310,159.68,0.066,0.205,22.788,63.71,1.026,32.881,0.107,0.081,0.002,0.004
713,9,APP/PS1,Brain stem,50E,0.553,-0.017,0.988,5953.24,929.41,2.91,16872.24,22624.21,224.82,0.534,0.074,2.798,141.51,0.065,0.276,24.782,67.43,1.029,38.542,0.129,-0.045,0.002,0.005
718,9,APP/PS1,Brain stem,51E,0.900,-0.160,1.107,5779.77,745.95,5.49,13725.15,18633.95,337.83,0.042,0.063,2.380,124.50,0.059,0.677,26.890,61.87,0.799,31.370,0.204,-0.623,0.002,0.008
226,5,NFL,Siatic nerve,01F,0.558,0.052,2.339,4323.60,233.38,7.12,7377.34,3696.89,195.00,4.498,0.760,0.350,33.21,0.042,11.511,1.445,23.32,0.381,8.927,0.121,53.654,0.014,0.026
227,5,NFL,Siatic nerve,02F,0.432,-0.105,2.036,4536.25,461.23,21.98,9061.23,7350.95,213.92,1.983,0.199,0.442,34.26,0.021,5.506,1.935,30.23,0.587,17.648,0.109,9.305,0.007,0.011
228,5,NFL,Siatic nerve,03F,0.382,0.007,1.530,5225.48,406.42,14.10,9813.60,6530.44,341.77,1.292,0.343,0.455,40.44,0.022,0.434,2.238,33.09,0.466,15.872,0.140,3.675,0.006,0.005
229,5,NFL,Siatic nerve,04F,1.125,0.274,2.710,5073.82,325.13,19.34,8656.74,5226.11,1465.17,1.936,1.111,0.857,42.56,0.044,24.114,3.338,58.01,0.620,13.213,0.355,5.806,0.012,0.027
230,5,NFL,Siatic nerve,05F,0.568,-0.165,1.846,4779.61,297.21,23.38,8467.12,4884.48,514.71,0.930,0.359,0.448,37.95,0.023,1.984,1.675,27.80,0.513,12.924,0.266,2.039,0.005,0.007
232,5,NFL,Siatic nerve,06F,0.534,0.098,3.316,4316.11,274.11,6.92,8065.83,4291.46,515.49,1.357,1.902,0.679,46.61,0.028,4.244,1.716,27.11,0.480,10.421,0.252,1.239,0.004,0.008
233,5,NFL,Siatic nerve,07F,1.969,-0.213,6.122,5405.47,385.07,13.87,11763.68,5930.86,625.82,3.071,1.247,1.590,63.60,0.094,4.845,8.443,35.99,0.446,14.171,0.360,2.329,0.021,0.015
234,5,NFL,Siatic nerve,08F,0.955,-0.247,1.540,3557.20,245.16,5.08,6075.35,3969.02,371.27,1.573,1.349,0.497,35.49,0.026,2.629,1.510,25.28,0.497,11.018,0.185,0.627,0.007,0.011
238,5,NFL,Siatic nerve,09F,0.969,-0.062,11.689,5198.58,609.89,16.16,10756.87,9087.91,993.83,2.445,9.565,4.534,137.51,0.174,8.386,7.065,48.50,0.518,22.969,1.245,0.370,0.009,0.025
237,5,NFL,Siatic nerve,10F,0.417,0.030,2.380,5194.41,363.63,7.25,7817.92,6263.46,582.23,1.119,0.461,0.720,54.54,0.021,0.240,2.899,38.96,0.568,14.468,0.250,0.107,0.002,0.006
236,5,NFL,Siatic nerve,11F,0.470,0.039,1.968,3605.41,414.54,11.81,6550.90,5664.31,1440.70,1.368,1.752,1.581,59.13,0.028,0.706,1.798,29.43,0.398,13.304,0.739,-0.115,0.003,0.011
235,5,NFL,Siatic nerve,12F,0.457,-0.036,2.020,5023.84,311.30,9.84,8695.12,4639.51,1653.95,1.515,1.203,0.829,65.29,0.038,2.600,2.470,38.60,0.492,12.159,0.742,-0.035,0.002,0.006
162379,22,NFL,Siatic nerve,13F,1.000,0.240,3.282,4527.28,298.62,15.79,7929.83,4294.92,1375.44,1.784,5.019,1.139,77.94,0.029,3.506,1.774,151.13,0.420,12.770,0.612,-0.581,0.004,0.012
162380,22,NFL,Siatic nerve,14F,0.412,0.022,1.531,4415.04,340.00,5.88,6355.24,3861.94,831.46,1.044,0.383,0.418,55.11,0.020,0.321,1.885,38.57,0.382,8.775,0.258,-0.173,0.002,0.004
162381,22,NFL,Siatic nerve,15F,0.426,0.104,8.429,4221.20,267.52,9.40,7740.32,3991.86,550.51,1.451,0.541,6.352,64.73,0.024,0.727,1.261,30.95,0.369,9.293,0.343,-0.258,0.001,0.010
162382,22,NFL,Siatic nerve,16F,0.677,0.071,13.668,4353.41,231.54,15.55,6964.93,3279.23,531.64,0.873,3.162,1.280,69.04,0.121,1.461,1.678,111.56,0.406,6.509,0.404,-0.534,0.003,0.008
13,22,NFL,Siatic nerve,17F,1.432,0.262,2.856,12283.34,435.13,20.30,11525.93,7403.32,1782.29,0.970,0.732,2.264,177.70,0.047,6.047,7.703,81.90,0.744,21.515,1.181,-1.398,0.002,0.007
14,22,NFL,Siatic nerve,18F,0.900,0.035,1.931,5927.04,305.14,8.41,8292.22,5493.97,269.26,0.644,0.327,0.320,82.04,0.027,1.936,2.378,55.05,0.551,14.614,0.151,-0.847,0.004,0.006
