Mouse i.d.,age in months,mouse Strain,Tissue region,Sample Name,Dilution,7  Li   ,11  B   ,23  Na   ,24  Mg   ,27  Al   ,31  P   ,39  K   ,42  Ca   ,47  Ti   ,52  Cr   ,55  Mn   ,56  Fe   ,59  Co   ,60  Ni   ,63  Cu   ,66  Zn   ,78  Se   ,85  Rb   ,88  Sr   ,95  Mo   ,101  Ru   ,111  Cd   
13,22,NFL,Hippocampus,17B,0.387,-0.024,1.162,5398.41,723.13,4.84,14937.81,19223.68,395.79,0.889,1.035,1.795,90.10,0.057,0.365,27.157,89.44,0.902,24.417,0.184,0.261,0.000,0.005
14,22,NFL,Hippocampus,18B,0.366,0.143,0.825,5005.36,668.90,15.91,13512.95,18201.31,290.46,0.856,0.045,1.699,76.51,0.048,0.254,19.095,80.62,1.005,18.987,0.085,0.296,0.000,0.004
15,22,NFL,Hippocampus,19B,0.321,0.064,1.263,4903.31,702.89,3.85,14774.24,18414.59,675.77,3.521,119.070,3.344,94.57,0.086,0.434,29.239,98.21,0.855,21.418,0.175,0.279,-0.001,0.007
161464,22,(WT),Hippocampus,20B,0.165,-0.009,1.031,4971.37,702.62,1.01,14665.02,16491.64,327.20,0.921,0.160,1.901,71.57,0.058,0.127,27.449,78.80,0.985,19.651,0.117,0.437,0.000,0.003
161466,22,(WT),Hippocampus,21B,0.123,0.014,1.041,5498.77,815.83,2.65,19231.53,19947.85,221.11,1.139,0.467,1.791,81.92,0.062,0.106,35.109,84.70,1.194,21.220,0.086,0.557,0.000,0.001
161468,22,(WT),Hippocampus,22B,0.207,0.014,1.265,5707.67,874.01,2.62,17498.61,21093.66,323.35,1.323,0.910,1.860,97.39,0.060,0.180,31.183,91.15,1.096,21.689,0.242,0.498,0.000,0.002
161469,22,(WT),Hippocampus,23B,0.279,0.021,1.718,6078.43,859.99,2.87,16453.16,19767.11,430.83,1.229,1.195,1.949,102.33,0.059,0.222,24.257,99.52,0.999,24.348,0.199,0.287,-0.001,0.002
161470,22,(WT),Hippocampus,24B,0.155,0.014,1.394,5296.03,796.13,2.76,17962.99,19234.01,358.59,1.289,5.125,1.549,92.29,0.057,0.181,17.616,84.73,1.032,19.837,0.118,0.385,0.000,0.006
169,9,(WT),Hippocampus,25B,0.310,0.035,0.994,5215.09,673.31,2.00,13626.80,18588.84,231.88,0.776,0.046,1.611,71.69,0.065,0.215,19.323,86.55,0.795,22.715,0.106,0.387,-0.001,0.004
170,22,(WT),Hippocampus,26B,0.108,0.017,0.626,5223.55,676.95,0.72,16182.21,16285.60,177.14,0.868,0.053,1.712,75.77,0.051,0.064,43.208,65.32,0.965,26.961,0.071,0.446,0.000,0.002
171,22,(WT),Hippocampus,27B,0.227,0.075,0.714,4922.22,697.66,2.69,13867.19,16969.18,188.94,0.769,0.122,1.417,78.66,0.051,0.130,14.691,62.69,0.712,25.200,0.080,0.367,-0.001,0.002
